Date,AAPL,MSFT,NVDA,GOOGL,JPM,BAC,GS,UNH,JNJ,LLY,XOM,CVX,SPY,BND
2024-08-20,224.63092041015625,418.1938171386719,126.89862823486328,165.79421997070312,205.87013244628906,36.77175521850586,475.182373046875,555.0247192382812,150.5826416015625,936.8515014648438,107.46699523925781,133.16490173339844,545.7794799804688,68.76087951660156
2024-08-21,224.52183532714844,417.5440979003906,128.14515686035156,164.47525024414062,205.94692993164062,36.82878875732422,474.341552734375,552.5584716796875,151.7766876220703,938.8239135742188,106.78231048583984,133.74473571777344,547.6550903320312,68.908447265625
2024-08-22,222.66737365722656,409.08758544921875,123.39830017089844,162.44224548339844,207.8950653076172,37.294490814208984,475.57415771484375,553.1798706054688,152.64170837402344,940.9935302734375,107.6076889038086,134.12205505371094,543.3568115234375,68.63176727294922
2024-08-23,224.95816040039062,410.308349609375,129.01275634765625,164.24717712402344,209.50730895996094,37.798213958740234,486.72418212890625,558.7142333984375,154.31524658203125,939.5833129882812,109.0989761352539,135.8614959716797,549.1302490234375,68.93610382080078
2024-08-26,225.2953643798828,407.05963134765625,126.11079406738281,164.7826690673828,210.33262634277344,37.940773010253906,485.2432861328125,561.2186279296875,154.76654052734375,937.4038696289062,111.43438720703125,136.67140197753906,547.8211059570312,68.86234283447266
2024-08-27,226.13829040527344,407.4042663574219,127.94573211669922,163.31494140625,211.30191040039062,37.70317459106445,484.66046142578125,561.428955078125,154.36863708496094,941.2993774414062,110.37455749511719,135.24488830566406,548.5733642578125,68.86234283447266
2024-08-28,224.61109924316406,404.2146301269531,125.26314544677734,161.50010681152344,212.36715698242188,37.969295501708984,480.9054870605469,562.5664672851562,155.28758239746094,935.8358154296875,109.28656005859375,134.37057495117188,545.3887939453125,68.81623077392578
2024-08-29,227.8837127685547,406.6954040527344,117.26527404785156,160.43899536132812,213.2500762939453,38.17837905883789,487.3739318847656,565.462646484375,155.58126831054688,927.2164916992188,110.7966079711914,135.6774444580078,545.4375610351562,68.71479034423828
2024-08-30,227.10028076171875,410.6529846191406,119.04037475585938,162.02572631835938,215.7356414794922,38.72962188720703,490.4013671875,564.1531372070312,157.12539672851562,946.7628173828125,110.61841583251953,136.1652374267578,550.6443481445312,68.57643127441406
2024-09-03,220.92193603515625,403.07269287109375,107.70177459716797,156.05564880371094,211.41708374023438,38.682106018066406,468.4979248046875,572.2589111328125,158.35694885253906,943.321044921875,108.30174255371094,133.1372833251953,539.3126220703125,68.8687515258789
2024-09-04,219.01788330078125,402.54107666015625,105.91671752929688,155.15316772460938,210.48617553710938,38.49201583862305,471.5541687011719,577.5162353515625,158.5464324951172,933.2421264648438,106.97927856445312,130.7535858154297,538.2088012695312,69.17399597167969
2024-09-05,220.53518676757812,402.0389404296875,106.91397094726562,155.93663024902344,208.854736328125,38.14986801147461,468.90155029296875,569.209716796875,156.30123901367188,900.1455078125,106.14452362060547,129.70440673828125,536.8997802734375,69.34049987792969
2024-09-06,218.98814392089844,395.45306396484375,102.54605102539062,149.6689910888672,203.89321899414062,37.078460693359375,460.9532470703125,570.538330078125,155.72335815429688,890.2442626953125,105.6474380493164,127.52316284179688,527.8636474609375,69.42376708984375
2024-09-09,219.07737731933594,399.4105529785156,106.1760025024414,147.67303466796875,208.0677947998047,37.757659912109375,469.5647277832031,567.8809814453125,157.8358917236328,895.7274169921875,107.87030029296875,129.12457275390625,533.7737426757812,69.51628875732422
2024-09-10,218.2840118408203,407.7586364746094,107.8014907836914,147.6233673095703,197.27139282226562,37.57590103149414,448.958740234375,572.5935668945312,158.56536865234375,888.8043823242188,103.9404067993164,127.21944427490234,536.0987548828125,69.7475357055664
2024-09-11,220.8128662109375,416.4612121582031,116.58717346191406,150.10594177246094,198.87408447265625,37.30804443359375,452.8415832519531,563.7230834960938,156.14019775390625,908.1732177734375,102.90869903564453,126.8973388671875,541.5985107421875,69.71051788330078
2024-09-12,220.92193603515625,420.3595886230469,118.82117462158203,153.611328125,198.26947021484375,37.097591400146484,455.619140625,562.4517211914062,155.9696502685547,922.1080932617188,104.32496643066406,128.12142944335938,546.1605834960938,69.63653564453125
2024-09-13,220.65419006347656,423.89373779296875,118.7812728881836,156.36199951171875,196.08140563964844,36.97322463989258,460.3573913574219,568.0913696289062,156.80331420898438,910.9542846679688,104.24992370605469,129.40988159179688,549.0130004882812,69.78455352783203
2024-09-16,214.5254669189453,424.632080078125,116.46748352050781,156.9578094482422,199.47869873046875,37.40371322631836,466.287353515625,565.1368408203125,158.19589233398438,910.7865600585938,105.71308898925781,130.77198791503906,549.82373046875,69.96955108642578
2024-09-17,214.99156188964844,428.3828125,115.2806625366211,158.20904541015625,200.81260681152344,37.834190368652344,466.5084228515625,554.4124145507812,158.2716827392578,893.6663208007812,107.0918197631836,131.98684692382812,550.0484619140625,69.87703704833984
2024-09-18,218.85922241210938,424.1103515625,113.06661224365234,158.69561767578125,199.16197204589844,37.90114974975586,465.7298889160156,556.9927978515625,157.40011596679688,892.4730834960938,107.46699523925781,132.4930419921875,548.4169921875,69.66426849365234
2024-09-19,226.97132873535156,431.8677978515625,117.55458068847656,161.00936889648438,201.99302673339844,39.096920013427734,484.2311096191406,553.55859375,156.14019775390625,902.4039306640625,108.79883575439453,133.4409942626953,557.775634765625,69.66426849365234
2024-09-20,226.306884765625,428.5009765625,115.68958282470703,162.44924926757812,202.57843017578125,38.52294921875,479.0411376953125,551.572998046875,155.5149383544922,908.7648315429688,108.1141586303711,134.07603454589844,556.8114013671875,69.65501403808594
2024-09-23,224.5912628173828,426.7684020996094,115.9488754272461,160.7213897705078,202.914306640625,38.14030456542969,478.06085205078125,550.0476684570312,154.62445068359375,905.8358764648438,110.07441711425781,135.7878875732422,558.2027587890625,69.60877990722656
2024-09-24,225.48377990722656,422.4958801269531,120.54653930664062,161.15834045410156,203.05828857421875,37.73853302001953,478.6470947265625,551.7552490234375,154.2075958251953,911.6641845703125,109.78366088867188,135.70504760742188,559.7999877929688,69.69202423095703
2024-09-25,224.4920654296875,425.3901062011719,123.17948150634766,160.36390686035156,201.71475219726562,37.547203063964844,472.03472900390625,552.82958984375,152.14239501953125,911.7925415039062,107.64520263671875,132.50225830078125,558.5653076171875,69.43301391601562
2024-09-26,225.63253784179688,424.6025390625,123.70806121826172,161.5952606201172,201.32125854492188,37.80549240112305,477.5898742675781,551.3906860351562,152.8908233642578,896.762939453125,105.79749298095703,130.67996215820312,560.7798461914062,69.43301391601562
2024-09-27,225.90028381347656,421.3636779785156,121.07513427734375,162.80677795410156,202.01223754882812,37.690696716308594,479.11810302734375,558.143798828125,152.90028381347656,865.6682739257812,108.63002014160156,133.90118408203125,559.9664916992188,69.63653564453125
2024-09-30,231.06707763671875,423.6082458496094,121.11502075195312,164.69349670410156,202.3577117919922,37.958553314208984,475.85028076171875,560.858642578125,153.5255126953125,873.7057495117188,109.943115234375,135.53939819335938,562.2103881835938,69.47927856445312
2024-10-01,224.3334197998047,414.147705078125,116.68689727783203,165.8255615234375,198.6917266845703,37.51850509643555,471.10247802734375,559.5347900390625,153.459228515625,872.2659301757812,112.48487091064453,137.77581787109375,557.173828125,69.68431091308594
2024-10-02,224.898681640625,410.6430358886719,118.53195190429688,164.7034454345703,198.93165588378906,37.5280647277832,472.8517150878906,568.177734375,152.68238830566406,878.7649536132812,113.9761734008789,138.92626953125,557.4091186523438,69.55441284179688
2024-10-03,223.79788208007812,410.0622863769531,122.52124786376953,164.7034454345703,196.95472717285156,37.547203063964844,467.1908264160156,568.5997314453125,152.04766845703125,873.3211059570312,114.97037506103516,139.20237731933594,556.3900756835938,69.24824523925781
2024-10-04,224.9185028076172,409.5896911621094,124.58570861816406,165.8950653076172,203.9453582763672,38.369895935058594,475.89837646484375,567.1129760742188,151.84873962402344,874.908935546875,117.08069610595703,138.73300170898438,561.4461669921875,68.79364776611328
2024-10-07,219.85089111328125,403.17108154296875,127.37820434570312,161.84349060058594,203.66534423828125,38.22639846801758,475.3793640136719,559.7841796875,151.1287384033203,885.9937744140625,117.587158203125,139.0827178955078,556.3704223632812,68.58952331542969
2024-10-08,223.8970489501953,408.26068115234375,132.5343780517578,163.23374938964844,203.49156188964844,38.19770050048828,477.2535400390625,557.8848876953125,151.2803192138672,901.1021728515625,114.46388244628906,136.90151977539062,561.63232421875,68.69161224365234
2024-10-09,227.6357879638672,410.9679260253906,132.29501342773438,160.73133850097656,206.069580078125,38.44641876220703,485.52862548828125,567.132080078125,152.18975830078125,907.0390625,114.51078796386719,137.7298126220703,565.5224609375,68.50605773925781
2024-10-10,227.13992309570312,409.3731384277344,134.44923400878906,160.9497833251953,205.50958251953125,38.23596954345703,484.1253967285156,573.34814453125,152.05714416503906,898.114013671875,115.49559783935547,138.62254333496094,564.5327758789062,68.47821044921875
2024-10-11,225.6622772216797,409.8456726074219,134.4392547607422,162.10171508789062,214.6341094970703,40.130069732666016,496.2160339355469,573.683837890625,152.95712280273438,919.18896484375,115.93641662597656,139.3588104248047,567.9132080078125,68.48747253417969
2024-10-14,229.38116455078125,412.621826171875,137.70053100585938,163.80970764160156,213.8519744873047,40.09180450439453,502.4151306152344,580.7344360351562,153.08975219726562,916.6741333007812,116.37725830078125,139.69017028808594,572.557861328125,68.44109344482422
2024-10-15,231.91001892089844,412.2280578613281,131.24783325195312,164.30621337890625,214.7306671142578,40.31182098388672,502.0595703125,533.6251831054688,155.45809936523438,900.7077026367188,112.87879180908203,135.96273803710938,568.1093139648438,68.71016693115234
2024-10-16,229.85719299316406,409.6487731933594,135.35679626464844,164.00831604003906,215.93760681152344,40.94319152832031,509.2485046386719,548.0621337890625,155.62860107421875,903.764892578125,113.16954803466797,136.88308715820312,570.5784912109375,68.80293273925781
2024-10-17,230.22413635253906,410.23944091796875,136.56356811523438,161.7938690185547,216.6907501220703,40.751869201660156,508.4220275878906,542.9683227539062,155.80860900878906,904.4552001953125,112.87879180908203,139.15635681152344,570.6275634765625,68.46893310546875
2024-10-18,233.05047607421875,411.65704345703125,137.63070678710938,162.2804412841797,217.60801696777344,40.484012603759766,507.94146728515625,546.4026489257812,156.4243927001953,905.2933959960938,112.5599136352539,138.74220275878906,572.8224487304688,68.50605773925781
2024-10-21,234.51820373535156,412.2674255371094,143.325439453125,162.92593383789062,215.31964111328125,39.948307037353516,497.6576232910156,548.1868286132812,154.25498962402344,893.6170043945312,112.62555694580078,138.8618621826172,571.8817138671875,68.0421371459961
2024-10-22,233.90335083007812,420.8616638183594,143.2057342529297,163.98846435546875,216.4010467529297,40.46488571166992,498.1382141113281,546.642333984375,154.8423309326172,896.5953979492188,113.20706939697266,138.8986358642578,571.5779418945312,68.06998443603516
